23:01:48: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
23:01:49: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | main | 135] Connected!
23:01:50: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE ALTITUDE: 1
23:01:50: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 63.43494882292201
23:01:50: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE ALTITUDE: -1
23:01:50: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 63.43494882292201
23:01:53: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 63.43494882292201
23:01:54: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 90.0
23:01:54: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 116.56505117707799
23:01:55: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 45.0
23:01:55: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 63.43494882292201
23:01:56: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 90.0
23:01:56: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 26.565051177077994
23:01:57: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 45.0
23:01:57: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 90.0
23:01:58: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 45.0
23:01:58: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 90.0
23:01:59: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: 135.0
23:01:59: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -26.565051177077994
23:02:00: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -45.0
23:02:00: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -90.0
23:02:01: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -45.0
23:02:01: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -90.0
23:02:02: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -135.0
23:02:02: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -63.43494882292201
23:02:03: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -90.0
23:02:03: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -116.56505117707799
23:02:04: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -45.0
23:02:04: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -63.43494882292201
23:02:05: [INFO] [C:\Users\silve\Auto Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 77] CHANGE YAW: -90.0
